# ----------------------------------------
# CitationFormatChecker
# Landing Page Performance [PSEO]-Free form 1
# 20251029-20251228
# ----------------------------------------

,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals,Totals,Totals
Landing page + query string,Session source / medium,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate
/cite-cdc-apa/,yahoo / organic,4,4,4,256,64,1,4,4,4,256,64,1
/cite-circulation-apa/,google / organic,4,4,4,0,0,1,4,4,4,0,0,1
/cite-harvard-business-review-apa/,bing / organic,4,4,4,24,6,1,4,4,4,24,6,1
/cite-harvard-business-review-apa/,google / organic,4,4,4,319,79.75,1,4,4,4,319,79.75,1
/cite-journal-of-retailing-and-consumer-services-apa/,(direct) / (none),4,4,4,4,1,1,4,4,4,4,1,1
/cite-jstor-apa/,google / organic,4,3,3,15,3.75,1,4,3,3,15,3.75,1
/cite-nature-apa/,(direct) / (none),4,4,4,2,0.5,1,4,4,4,2,0.5,1
/cite-nature-biotechnology-apa/,(direct) / (none),4,4,4,14,3.5,1,4,4,4,14,3.5,1
/cite-new-york-times-apa/,bing / organic,4,4,4,67,16.75,1,4,4,4,67,16.75,1
/cite-npr-apa/,bing / organic,4,4,4,231,57.75,1,4,4,4,231,57.75,1
/cite-physical-review-letters-apa/,(direct) / (none),4,4,4,4,1,1,4,4,4,4,1,1
/cite-reuters-apa/,bing / organic,4,3,3,242,60.5,1,4,3,3,242,60.5,1
/cite-the-lancet-infectious-diseases-apa/,(direct) / (none),4,4,4,1,0.25,1,4,4,4,1,0.25,1
/guide/apa-7th-edition-changes/,(direct) / (none),4,4,4,1,0.25,0,4,4,4,1,0.25,0
/guide/apa-citation-workflow/,(direct) / (none),4,4,4,4,1,0,4,4,4,4,1,0
/guide/apa-citations-education/,(direct) / (none),4,4,4,13,3.25,0.25,4,4,4,13,3.25,0.25
/guide/apa-graduate-students/,google / organic,4,4,4,0,0,0,4,4,4,0,0,0
/how-to-check-capitalization-apa/,(direct) / (none),4,4,4,0,0,0,4,4,4,0,0,0
