# ----------------------------------------
# CitationFormatChecker
# Events: Event name-Tab 3
# 20251201-20251228
# ----------------------------------------

,,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals
Event name,Landing page,Session source / medium,Event count,Total users,Event count per active user,Total revenue,Event count,Total users,Event count per active user,Total revenue
page_view,/cite-cdc-apa,yahoo / organic,6,3,2,0,6,3,2,0
page_view,/cite-environmental-science-technology-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-frontiers-in-immunology-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-google-scholar-apa,chatgpt.com / (not set),6,3,2,0,6,3,2,0
page_view,/cite-journal-of-retailing-and-consumer-services-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-jstor-apa,google / organic,6,2,3,0,6,2,3,0
page_view,/cite-nature-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-nature-biotechnology-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-nature-materials-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-plant-physiology-apa,(direct) / (none),6,1,6,0,6,1,6,0
page_view,/cite-sustainability-apa,google / organic,6,1,6,0,6,1,6,0
page_view,/cite-the-lancet-apa,bing / organic,6,2,3,0,6,2,3,0
page_view,/cite-the-lancet-infectious-diseases-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-the_guardian-apa,bing / organic,6,3,2,0,6,3,2,0
page_view,/cite-white-house-apa,bing / organic,6,3,2,0,6,3,2,0
page_view,/guide/apa-graduate-students,bing / organic,6,5,1.2,0,6,5,1.2,0
page_view,/guide/apa-in-text-citations,(direct) / (none),6,6,1,0,6,6,1,0
page_view,/how-to-cite-book-apa,chatgpt.com / referral,6,1,6,0,6,1,6,0
page_view,/how-to-cite-conference-paper-apa,bing / organic,6,2,3,0,6,2,3,0
page_view,/how-to-cite-dictionary-apa,(direct) / (none),6,6,1,0,6,6,1,0
page_view,/how-to-cite-edited-book-apa,(direct) / (none),6,6,1,0,6,6,1,0
page_view,/how-to-cite-instagram-apa,bing / organic,6,3,2,0,6,3,2,0
page_view,/how-to-cite-newspaper-apa,(direct) / (none),6,6,1,0,6,6,1,0
page_view,/how-to-cite-thesis-apa,(direct) / (none),6,6,1,0,6,6,1,0
page_view,/how-to-cite-working-paper-apa,chatgpt.com / referral,6,3,2,0,6,3,2,0
scroll,/cite-arxiv-apa,(direct) / (none),6,6,1,0,6,6,1,0
scroll,/cite-nature-physics-apa,(direct) / (none),6,6,1,0,6,6,1,0
scroll_depth,/how-to-cite-conference-paper-apa,chatgpt.com / referral,6,1,6,0,6,1,6,0
